attack,defense1,defense2,multiplier
Psychic,Water,Rock,1.0
Bug,Water,Rock,1.0
Rock,Water,Rock,1.0
Ghost,Water,Rock,1.0
Dragon,Water,Rock,1.0
Dark,Water,Rock,1.0
Steel,Water,Rock,1.0
Fairy,Water,Rock,1.0
Normal,Water,Ghost,0.0
Fire,Water,Ghost,0.5
Water,Water,Ghost,0.5
Electric,Water,Ghost,2.0
Grass,Water,Ghost,2.0
Ice,Water,Ghost,0.5
Fighting,Water,Ghost,0.0
Poison,Water,Ghost,0.5
Ground,Water,Ghost,1.0
Flying,Water,Ghost,1.0
Psychic,Water,Ghost,1.0
Bug,Water,Ghost,0.5
Rock,Water,Ghost,1.0
Ghost,Water,Ghost,2.0
Dragon,Water,Ghost,1.0
Dark,Water,Ghost,2.0
Steel,Water,Ghost,0.5
Fairy,Water,Ghost,1.0
Normal,Water,Dragon,1.0
Fire,Water,Dragon,0.25
Water,Water,Dragon,0.25
Electric,Water,Dragon,1.0
Grass,Water,Dragon,1.0
Ice,Water,Dragon,1.0
Fighting,Water,Dragon,1.0
Poison,Water,Dragon,1.0
Ground,Water,Dragon,1.0
Flying,Water,Dragon,1.0
Psychic,Water,Dragon,1.0
Bug,Water,Dragon,1.0
Rock,Water,Dragon,1.0
Ghost,Water,Dragon,1.0
Dragon,Water,Dragon,2.0
Dark,Water,Dragon,1.0
Steel,Water,Dragon,0.5
Fairy,Water,Dragon,2.0
Normal,Water,Dark,1.0
Fire,Water,Dark,0.5
Water,Water,Dark,0.5
Electric,Water,Dark,2.0
Grass,Water,Dark,2.0
Ice,Water,Dark,0.5
Fighting,Water,Dark,2.0
Poison,Water,Dark,1.0
Ground,Water,Dark,1.0
Flying,Water,Dark,1.0
Psychic,Water,Dark,0.0
Bug,Water,Dark,2.0
Rock,Water,Dark,1.0
Ghost,Water,Dark,0.5
Dragon,Water,Dark,1.0
Dark,Water,Dark,0.5
Steel,Water,Dark,0.5
Fairy,Water,Dark,2.0
Normal,Water,Steel,0.5
Fire,Water,Steel,1.0
Water,Water,Steel,0.5
Electric,Water,Steel,2.0
Grass,Water,Steel,1.0
Ice,Water,Steel,0.25
Fighting,Water,Steel,2.0
Poison,Water,Steel,0.0
Ground,Water,Steel,2.0
Flying,Water,Steel,0.5
Psychic,Water,Steel,0.5
Bug,Water,Steel,0.5
Rock,Water,Steel,0.5
Ghost,Water,Steel,1.0
Dragon,Water,Steel,0.5
Dark,Water,Steel,1.0
Steel,Water,Steel,0.25
Fairy,Water,Steel,0.5
Normal,Water,Fairy,1.0
Fire,Water,Fairy,0.5
Water,Water,Fairy,0.5
Electric,Water,Fairy,2.0
Grass,Water,Fairy,2.0
Ice,Water,Fairy,0.5
Fighting,Water,Fairy,0.5
Poison,Water,Fairy,2.0
Ground,Water,Fairy,1.0
Flying,Water,Fairy,1.0
Psychic,Water,Fairy,1.0
Bug,Water,Fairy,0.5
Rock,Water,Fairy,1.0
Ghost,Water,Fairy,1.0
Dragon,Water,Fairy,0.0
Dark,Water,Fairy,0.5
Steel,Water,Fairy,1.0
Fairy,Water,Fairy,1.0
Normal,Electric,,1.0
Fire,Electric,,1.0
Water,Electric,,1.0
Electric,Electric,,0.5
Grass,Electric,,1.0
Ice,Electric,,1.0
Fighting,Electric,,1.0
Poison,Electric,,1.0
Ground,Electric,,2.0
Flying,Electric,,0.5
Psychic,Electric,,1.0
Bug,Electric,,1.0
Rock,Electric,,1.0
Ghost,Electric,,1.0
Dragon,Electric,,1.0
Dark,Electric,,1.0
Steel,Electric,,0.5
Fairy,Electric,,1.0
Normal,Electric,Normal,1.0
Fire,Electric,Normal,1.0
Water,Electric,Normal,1.0
Electric,Electric,Normal,0.5
Grass,Electric,Normal,1.0
Ice,Electric,Normal,1.0
Fighting,Electric,Normal,2.0
Poison,Electric,Normal,1.0
Ground,Electric,Normal,2.0
Flying,Electric,Normal,0.5
Psychic,Electric,Normal,1.0
Bug,Electric,Normal,1.0
Rock,Electric,Normal,1.0
Ghost,Electric,Normal,0.0
Dragon,Electric,Normal,1.0
Dark,Electric,Normal,1.0
Steel,Electric,Normal,0.5
Fairy,Electric,Normal,1.0
Normal,Electric,Fire,1.0
Fire,Electric,Fire,0.5
Water,Electric,Fire,2.0
Electric,Electric,Fire,0.5
Grass,Electric,Fire,0.5
Ice,Electric,Fire,0.5
Fighting,Electric,Fire,1.0
Poison,Electric,Fire,1.0
Ground,Electric,Fire,4.0
Flying,Electric,Fire,0.5
Psychic,Electric,Fire,1.0
Bug,Electric,Fire,0.5
Rock,Electric,Fire,2.0
Ghost,Electric,Fire,1.0
Dragon,Electric,Fire,1.0
Dark,Electric,Fire,1.0
Steel,Electric,Fire,0.25
Fairy,Electric,Fire,0.5
Normal,Electric,Water,1.0
Fire,Electric,Water,0.5
Water,Electric,Water,0.5
Electric,Electric,Water,1.0
Grass,Electric,Water,2.0
Ice,Electric,Water,0.5
Fighting,Electric,Water,1.0
Poison,Electric,Water,1.0
Ground,Electric,Water,2.0
Flying,Electric,Water,0.5
Psychic,Electric,Water,1.0
Bug,Electric,Water,1.0
Rock,Electric,Water,1.0
Ghost,Electric,Water,1.0
Dragon,Electric,Water,1.0
Dark,Electric,Water,1.0
Steel,Electric,Water,0.25
Fairy,Electric,Water,1.0
Normal,Electric,Grass,1.0
Fire,Electric,Grass,2.0
Water,Electric,Grass,0.5
Electric,Electric,Grass,0.25
Grass,Electric,Grass,0.5
Ice,Electric,Grass,2.0
Fighting,Electric,Grass,1.0
Poison,Electric,Grass,2.0
Ground,Electric,Grass,1.0
Flying,Electric,Grass,1.0
Psychic,Electric,Grass,1.0
Bug,Electric,Grass,2.0
Rock,Electric,Grass,1.0
Ghost,Electric,Grass,1.0
Dragon,Electric,Grass,1.0
Dark,Electric,Grass,1.0
Steel,Electric,Grass,0.5
Fairy,Electric,Grass,1.0
Normal,Electric,Ice,1.0
Fire,Electric,Ice,2.0
Water,Electric,Ice,1.0
Electric,Electric,Ice,0.5
Grass,Electric,Ice,1.0
Ice,Electric,Ice,0.5
Fighting,Electric,Ice,2.0
Poison,Electric,Ice,1.0
Ground,Electric,Ice,2.0
Flying,Electric,Ice,0.5
Psychic,Electric,Ice,1.0
Bug,Electric,Ice,1.0
Rock,Electric,Ice,2.0
Ghost,Electric,Ice,1.0
Dragon,Electric,Ice,1.0
Dark,Electric,Ice,1.0
Steel,Electric,Ice,1.0
Fairy,Electric,Ice,1.0
Normal,Electric,Fighting,1.0
Fire,Electric,Fighting,1.0
Water,Electric,Fighting,1.0
Electric,Electric,Fighting,0.5
Grass,Electric,Fighting,1.0
Ice,Electric,Fighting,1.0
Fighting,Electric,Fighting,1.0
Poison,Electric,Fighting,1.0
Ground,Electric,Fighting,2.0
Flying,Electric,Fighting,1.0
Psychic,Electric,Fighting,2.0
Bug,Electric,Fighting,0.5
Rock,Electric,Fighting,0.5
Ghost,Electric,Fighting,1.0
Dragon,Electric,Fighting,1.0
Dark,Electric,Fighting,0.5
Steel,Electric,Fighting,0.5
Fairy,Electric,Fighting,2.0
Normal,Electric,Poison,1.0
Fire,Electric,Poison,1.0
Water,Electric,Poison,1.0
Electric,Electric,Poison,0.5
Grass,Electric,Poison,0.5
Ice,Electric,Poison,1.0
Fighting,Electric,Poison,0.5
Poison,Electric,Poison,0.5
Ground,Electric,Poison,4.0
Flying,Electric,Poison,0.5
Psychic,Electric,Poison,2.0
Bug,Electric,Poison,0.5
Rock,Electric,Poison,1.0
Ghost,Electric,Poison,1.0
Dragon,Electric,Poison,1.0
Dark,Electric,Poison,1.0
Steel,Electric,Poison,0.5
Fairy,Electric,Poison,0.5
Normal,Electric,Ground,1.0
Fire,Electric,Ground,1.0
Water,Electric,Ground,2.0
Electric,Electric,Ground,0.0
Grass,Electric,Ground,2.0
Ice,Electric,Ground,2.0
Fighting,Electric,Ground,1.0
Poison,Electric,Ground,0.5
Ground,Electric,Ground,2.0
Flying,Electric,Ground,0.5
Psychic,Electric,Ground,1.0
Bug,Electric,Ground,1.0
Rock,Electric,Ground,0.5
Ghost,Electric,Ground,1.0
Dragon,Electric,Ground,1.0
Dark,Electric,Ground,1.0
Steel,Electric,Ground,0.5
Fairy,Electric,Ground,1.0
Normal,Electric,Flying,1.0
Fire,Electric,Flying,1.0
Water,Electric,Flying,1.0
Electric,Electric,Flying,1.0
Grass,Electric,Flying,0.5
Ice,Electric,Flying,2.0
Fighting,Electric,Flying,0.5
Poison,Electric,Flying,1.0
Ground,Electric,Flying,0.0
Flying,Electric,Flying,0.5
Psychic,Electric,Flying,1.0
Bug,Electric,Flying,0.5
Rock,Electric,Flying,2.0
Ghost,Electric,Flying,1.0
Dragon,Electric,Flying,1.0
Dark,Electric,Flying,1.0
Steel,Electric,Flying,0.5
Fairy,Electric,Flying,1.0
Normal,Electric,Psychic,1.0
Fire,Electric,Psychic,1.0
Water,Electric,Psychic,1.0
Electric,Electric,Psychic,0.5
Grass,Electric,Psychic,1.0
Ice,Electric,Psychic,1.0
Fighting,Electric,Psychic,0.5
Poison,Electric,Psychic,1.0
Ground,Electric,Psychic,2.0
Flying,Electric,Psychic,0.5
Psychic,Electric,Psychic,0.5
Bug,Electric,Psychic,2.0
Rock,Electric,Psychic,1.0
Ghost,Electric,Psychic,2.0
Dragon,Electric,Psychic,1.0
Dark,Electric,Psychic,2.0
Steel,Electric,Psychic,0.5
Fairy,Electric,Psychic,1.0
Normal,Electric,Bug,1.0
Fire,Electric,Bug,2.0
Water,Electric,Bug,1.0
Electric,Electric,Bug,0.5
Grass,Electric,Bug,0.5
Ice,Electric,Bug,1.0
Fighting,Electric,Bug,0.5
Poison,Electric,Bug,1.0
Ground,Electric,Bug,1.0
Flying,Electric,Bug,1.0
Psychic,Electric,Bug,1.0
Bug,Electric,Bug,1.0
Rock,Electric,Bug,2.0
Ghost,Electric,Bug,1.0
Dragon,Electric,Bug,1.0
Dark,Electric,Bug,1.0
Steel,Electric,Bug,0.5
Fairy,Electric,Bug,1.0
Normal,Electric,Rock,0.5
Fire,Electric,Rock,0.5
Water,Electric,Rock,2.0
Electric,Electric,Rock,0.5
Grass,Electric,Rock,2.0
Ice,Electric,Rock,1.0
Fighting,Electric,Rock,2.0
Poison,Electric,Rock,0.5
Ground,Electric,Rock,4.0
Flying,Electric,Rock,0.25
Psychic,Electric,Rock,1.0
Bug,Electric,Rock,1.0
Rock,Electric,Rock,1.0
Ghost,Electric,Rock,1.0
Dragon,Electric,Rock,1.0
Dark,Electric,Rock,1.0
Steel,Electric,Rock,1.0
Fairy,Electric,Rock,1.0
Normal,Electric,Ghost,0.0
Fire,Electric,Ghost,1.0
Water,Electric,Ghost,1.0
Electric,Electric,Ghost,0.5
Grass,Electric,Ghost,1.0
Ice,Electric,Ghost,1.0
Fighting,Electric,Ghost,0.0
Poison,Electric,Ghost,0.5
Ground,Electric,Ghost,2.0
Flying,Electric,Ghost,0.5
Psychic,Electric,Ghost,1.0
Bug,Electric,Ghost,0.5
Rock,Electric,Ghost,1.0
Ghost,Electric,Ghost,2.0
Dragon,Electric,Ghost,1.0
Dark,Electric,Ghost,2.0
Steel,Electric,Ghost,0.5
Fairy,Electric,Ghost,1.0
Normal,Electric,Dragon,1.0
Fire,Electric,Dragon,0.5
Water,Electric,Dragon,0.5
Electric,Electric,Dragon,0.25
Grass,Electric,Dragon,0.5
Ice,Electric,Dragon,2.0
Fighting,Electric,Dragon,1.0
Poison,Electric,Dragon,1.0
Ground,Electric,Dragon,2.0
Flying,Electric,Dragon,0.5
Psychic,Electric,Dragon,1.0
Bug,Electric,Dragon,1.0
Rock,Electric,Dragon,1.0
Ghost,Electric,Dragon,1.0
Dragon,Electric,Dragon,2.0
Dark,Electric,Dragon,1.0
Steel,Electric,Dragon,0.5
Fairy,Electric,Dragon,2.0
Normal,Electric,Dark,1.0
Fire,Electric,Dark,1.0
Water,Electric,Dark,1.0
Electric,Electric,Dark,0.5
Grass,Electric,Dark,1.0
Ice,Electric,Dark,1.0
Fighting,Electric,Dark,2.0
Poison,Electric,Dark,1.0
Ground,Electric,Dark,2.0
Flying,Electric,Dark,0.5
Psychic,Electric,Dark,0.0
Bug,Electric,Dark,2.0
Rock,Electric,Dark,1.0
Ghost,Electric,Dark,0.5
Dragon,Electric,Dark,1.0
Dark,Electric,Dark,0.5
Steel,Electric,Dark,0.5
Fairy,Electric,Dark,2.0
Normal,Electric,Steel,0.5
Fire,Electric,Steel,2.0
Water,Electric,Steel,1.0
Electric,Electric,Steel,0.5
Grass,Electric,Steel,0.5
Ice,Electric,Steel,0.5
Fighting,Electric,Steel,2.0
Poison,Electric,Steel,0.0
Ground,Electric,Steel,4.0
Flying,Electric,Steel,0.25
Psychic,Electric,Steel,0.5
Bug,Electric,Steel,0.5
Rock,Electric,Steel,0.5
Ghost,Electric,Steel,1.0
Dragon,Electric,Steel,0.5
Dark,Electric,Steel,1.0
Steel,Electric,Steel,0.25
Fairy,Electric,Steel,0.5
Normal,Electric,Fairy,1.0
Fire,Electric,Fairy,1.0
Water,Electric,Fairy,1.0
Electric,Electric,Fairy,0.5
Grass,Electric,Fairy,1.0
Ice,Electric,Fairy,1.0
Fighting,Electric,Fairy,0.5
Poison,Electric,Fairy,2.0
Ground,Electric,Fairy,2.0
Flying,Electric,Fairy,0.5
Psychic,Electric,Fairy,1.0
Bug,Electric,Fairy,0.5
Rock,Electric,Fairy,1.0
Ghost,Electric,Fairy,1.0
Dragon,Electric,Fairy,0.0
Dark,Electric,Fairy,0.5
Steel,Electric,Fairy,1.0
Fairy,Electric,Fairy,1.0
Normal,Grass,,1.0
Fire,Grass,,2.0
Water,Grass,,0.5
Electric,Grass,,0.5
Grass,Grass,,0.5
Ice,Grass,,2.0
Fighting,Grass,,1.0
Poison,Grass,,2.0
Ground,Grass,,0.5
Flying,Grass,,2.0
Psychic,Grass,,1.0
Bug,Grass,,2.0
Rock,Grass,,1.0
Ghost,Grass,,1.0
Dragon,Grass,,1.0
Dark,Grass,,1.0
Steel,Grass,,1.0
Fairy,Grass,,1.0
Normal,Grass,Normal,1.0
Fire,Grass,Normal,2.0
Water,Grass,Normal,0.5
Electric,Grass,Normal,0.5
Grass,Grass,Normal,0.5
Ice,Grass,Normal,2.0
Fighting,Grass,Normal,2.0
Poison,Grass,Normal,2.0
Ground,Grass,Normal,0.5
Flying,Grass,Normal,2.0
Psychic,Grass,Normal,1.0
Bug,Grass,Normal,2.0
Rock,Grass,Normal,1.0
Ghost,Grass,Normal,0.0
Dragon,Grass,Normal,1.0
Dark,Grass,Normal,1.0
Steel,Grass,Normal,1.0
Fairy,Grass,Normal,1.0
Normal,Grass,Fire,1.0
Fire,Grass,Fire,1.0
Water,Grass,Fire,1.0
Electric,Grass,Fire,0.5
Grass,Grass,Fire,0.25
Ice,Grass,Fire,1.0
Fighting,Grass,Fire,1.0
Poison,Grass,Fire,2.0
Ground,Grass,Fire,1.0
Flying,Grass,Fire,2.0
Psychic,Grass,Fire,1.0
Bug,Grass,Fire,1.0
Rock,Grass,Fire,2.0
Ghost,Grass,Fire,1.0
Dragon,Grass,Fire,1.0
Dark,Grass,Fire,1.0
Steel,Grass,Fire,0.5
Fairy,Grass,Fire,0.5
Normal,Grass,Water,1.0
Fire,Grass,Water,1.0
Water,Grass,Water,0.25
Electric,Grass,Water,1.0
Grass,Grass,Water,1.0
Ice,Grass,Water,1.0
Fighting,Grass,Water,1.0
Poison,Grass,Water,2.0
Ground,Grass,Water,0.5
Flying,Grass,Water,2.0
Psychic,Grass,Water,1.0
Bug,Grass,Water,2.0
Rock,Grass,Water,1.0
Ghost,Grass,Water,1.0
Dragon,Grass,Water,1.0
Dark,Grass,Water,1.0
Steel,Grass,Water,0.5
Fairy,Grass,Water,1.0
Normal,Grass,Electric,1.0
Fire,Grass,Electric,2.0
Water,Grass,Electric,0.5
Electric,Grass,Electric,0.25
Grass,Grass,Electric,0.5
Ice,Grass,Electric,2.0
Fighting,Grass,Electric,1.0
Poison,Grass,Electric,2.0
Ground,Grass,Electric,1.0
Flying,Grass,Electric,1.0
Psychic,Grass,Electric,1.0
Bug,Grass,Electric,2.0
Rock,Grass,Electric,1.0
Ghost,Grass,Electric,1.0
Dragon,Grass,Electric,1.0
Dark,Grass,Electric,1.0
Steel,Grass,Electric,0.5
Fairy,Grass,Electric,1.0
Normal,Grass,Ice,1.0
Fire,Grass,Ice,4.0
Water,Grass,Ice,0.5
Electric,Grass,Ice,0.5
Grass,Grass,Ice,0.5
Ice,Grass,Ice,1.0
Fighting,Grass,Ice,2.0
Poison,Grass,Ice,2.0
Ground,Grass,Ice,0.5
Flying,Grass,Ice,2.0
Psychic,Grass,Ice,1.0
Bug,Grass,Ice,2.0
Rock,Grass,Ice,2.0
Ghost,Grass,Ice,1.0
Dragon,Grass,Ice,1.0
Dark,Grass,Ice,1.0
Steel,Grass,Ice,2.0
Fairy,Grass,Ice,1.0
Normal,Grass,Fighting,1.0
Fire,Grass,Fighting,2.0
Water,Grass,Fighting,0.5
Electric,Grass,Fighting,0.5
Grass,Grass,Fighting,0.5
Ice,Grass,Fighting,2.0
Fighting,Grass,Fighting,1.0
Poison,Grass,Fighting,2.0
Ground,Grass,Fighting,0.5
Flying,Grass,Fighting,4.0
Psychic,Grass,Fighting,2.0
Bug,Grass,Fighting,1.0
Rock,Grass,Fighting,0.5
Ghost,Grass,Fighting,1.0
Dragon,Grass,Fighting,1.0
Dark,Grass,Fighting,0.5
Steel,Grass,Fighting,1.0
Fairy,Grass,Fighting,2.0
Normal,Grass,Poison,1.0
Fire,Grass,Poison,2.0
Water,Grass,Poison,0.5
Electric,Grass,Poison,0.5
Grass,Grass,Poison,0.25
Ice,Grass,Poison,2.0
Fighting,Grass,Poison,0.5
Poison,Grass,Poison,1.0
Ground,Grass,Poison,1.0
Flying,Grass,Poison,2.0
Psychic,Grass,Poison,2.0
Bug,Grass,Poison,1.0
Rock,Grass,Poison,1.0
Ghost,Grass,Poison,1.0
Dragon,Grass,Poison,1.0
Dark,Grass,Poison,1.0
Steel,Grass,Poison,1.0
Fairy,Grass,Poison,0.5
Normal,Grass,Ground,1.0
Fire,Grass,Ground,2.0
Water,Grass,Ground,1.0
Electric,Grass,Ground,0.0
Grass,Grass,Ground,1.0
Ice,Grass,Ground,4.0
Fighting,Grass,Ground,1.0
Poison,Grass,Ground,1.0
Ground,Grass,Ground,0.5
Flying,Grass,Ground,2.0
Psychic,Grass,Ground,1.0
Bug,Grass,Ground,2.0
Rock,Grass,Ground,0.5
Ghost,Grass,Ground,1.0
Dragon,Grass,Ground,1.0
Dark,Grass,Ground,1.0
Steel,Grass,Ground,1.0
Fairy,Grass,Ground,1.0
Normal,Grass,Flying,1.0
Fire,Grass,Flying,2.0
Water,Grass,Flying,0.5
Electric,Grass,Flying,1.0
Grass,Grass,Flying,0.25
Ice,Grass,Flying,4.0
Fighting,Grass,Flying,0.5
Poison,Grass,Flying,2.0
Ground,Grass,Flying,0.0
Flying,Grass,Flying,2.0
Psychic,Grass,Flying,1.0
Bug,Grass,Flying,1.0
Rock,Grass,Flying,2.0
Ghost,Grass,Flying,1.0
Dragon,Grass,Flying,1.0
Dark,Grass,Flying,1.0
Steel,Grass,Flying,1.0
Fairy,Grass,Flying,1.0
Normal,Grass,Psychic,1.0
Fire,Grass,Psychic,2.0
Water,Grass,Psychic,0.5
Electric,Grass,Psychic,0.5
Grass,Grass,Psychic,0.5
Ice,Grass,Psychic,2.0
Fighting,Grass,Psychic,0.5
Poison,Grass,Psychic,2.0
Ground,Grass,Psychic,0.5
Flying,Grass,Psychic,2.0
Psychic,Grass,Psychic,0.5
Bug,Grass,Psychic,4.0
Rock,Grass,Psychic,1.0
Ghost,Grass,Psychic,2.0
Dragon,Grass,Psychic,1.0
Dark,Grass,Psychic,2.0
Steel,Grass,Psychic,1.0
Fairy,Grass,Psychic,1.0
Normal,Grass,Bug,1.0
Fire,Grass,Bug,4.0
Water,Grass,Bug,0.5
Electric,Grass,Bug,0.5
Grass,Grass,Bug,0.25
Ice,Grass,Bug,2.0
Fighting,Grass,Bug,0.5
Poison,Grass,Bug,2.0
Ground,Grass,Bug,0.25
Flying,Grass,Bug,4.0
Psychic,Grass,Bug,1.0
Bug,Grass,Bug,2.0
Rock,Grass,Bug,2.0
Ghost,Grass,Bug,1.0
Dragon,Grass,Bug,1.0
Dark,Grass,Bug,1.0
Steel,Grass,Bug,1.0
Fairy,Grass,Bug,1.0
Normal,Grass,Rock,0.5
Fire,Grass,Rock,1.0
Water,Grass,Rock,1.0
Electric,Grass,Rock,0.5
Grass,Grass,Rock,1.0
Ice,Grass,Rock,2.0
Fighting,Grass,Rock,2.0
Poison,Grass,Rock,1.0
Ground,Grass,Rock,1.0
Flying,Grass,Rock,1.0
Psychic,Grass,Rock,1.0
Bug,Grass,Rock,2.0
Rock,Grass,Rock,1.0
Ghost,Grass,Rock,1.0
Dragon,Grass,Rock,1.0
Dark,Grass,Rock,1.0
Steel,Grass,Rock,2.0
Fairy,Grass,Rock,1.0
Normal,Grass,Ghost,0.0
Fire,Grass,Ghost,2.0
Water,Grass,Ghost,0.5
Electric,Grass,Ghost,0.5
Grass,Grass,Ghost,0.5
Ice,Grass,Ghost,2.0
Fighting,Grass,Ghost,0.0
Poison,Grass,Ghost,1.0
Ground,Grass,Ghost,0.5
Flying,Grass,Ghost,2.0
Psychic,Grass,Ghost,1.0
Bug,Grass,Ghost,1.0
Rock,Grass,Ghost,1.0
Ghost,Grass,Ghost,2.0
Dragon,Grass,Ghost,1.0
Dark,Grass,Ghost,2.0
Steel,Grass,Ghost,1.0
Fairy,Grass,Ghost,1.0
Normal,Grass,Dragon,1.0
Fire,Grass,Dragon,1.0
Water,Grass,Dragon,0.25
Electric,Grass,Dragon,0.25
Grass,Grass,Dragon,0.25
Ice,Grass,Dragon,4.0
Fighting,Grass,Dragon,1.0
Poison,Grass,Dragon,2.0
Ground,Grass,Dragon,0.5
Flying,Grass,Dragon,2.0
Psychic,Grass,Dragon,1.0
Bug,Grass,Dragon,2.0
Rock,Grass,Dragon,1.0
Ghost,Grass,Dragon,1.0
Dragon,Grass,Dragon,2.0
Dark,Grass,Dragon,1.0
Steel,Grass,Dragon,1.0
Fairy,Grass,Dragon,2.0
Normal,Grass,Dark,1.0
Fire,Grass,Dark,2.0
Water,Grass,Dark,0.5
Electric,Grass,Dark,0.5
Grass,Grass,Dark,0.5
Ice,Grass,Dark,2.0
Fighting,Grass,Dark,2.0
Poison,Grass,Dark,2.0
Ground,Grass,Dark,0.5
Flying,Grass,Dark,2.0
Psychic,Grass,Dark,0.0
Bug,Grass,Dark,4.0
Rock,Grass,Dark,1.0
Ghost,Grass,Dark,0.5
Dragon,Grass,Dark,1.0
Dark,Grass,Dark,0.5
Steel,Grass,Dark,1.0
Fairy,Grass,Dark,2.0
Normal,Grass,Steel,0.5
Fire,Grass,Steel,4.0
Water,Grass,Steel,0.5
Electric,Grass,Steel,0.5
Grass,Grass,Steel,0.25
Ice,Grass,Steel,1.0
Fighting,Grass,Steel,2.0
Poison,Grass,Steel,0.0
Ground,Grass,Steel,1.0
Flying,Grass,Steel,1.0
Psychic,Grass,Steel,0.5
Bug,Grass,Steel,1.0
Rock,Grass,Steel,0.5
Ghost,Grass,Steel,1.0
Dragon,Grass,Steel,0.5
Dark,Grass,Steel,1.0
Steel,Grass,Steel,0.5
Fairy,Grass,Steel,0.5
Normal,Grass,Fairy,1.0
Fire,Grass,Fairy,2.0
Water,Grass,Fairy,0.5
Electric,Grass,Fairy,0.5
Grass,Grass,Fairy,0.5
Ice,Grass,Fairy,2.0
Fighting,Grass,Fairy,0.5
Poison,Grass,Fairy,4.0
Ground,Grass,Fairy,0.5
Flying,Grass,Fairy,2.0
Psychic,Grass,Fairy,1.0
Bug,Grass,Fairy,1.0
Rock,Grass,Fairy,1.0
Ghost,Grass,Fairy,1.0
Dragon,Grass,Fairy,0.0
Dark,Grass,Fairy,0.5
Steel,Grass,Fairy,2.0
Fairy,Grass,Fairy,1.0
Normal,Ice,,1.0
Fire,Ice,,2.0
Water,Ice,,1.0
Electric,Ice,,1.0
Grass,Ice,,1.0
Ice,Ice,,0.5
Fighting,Ice,,2.0
Poison,Ice,,1.0
Ground,Ice,,1.0
Flying,Ice,,1.0
Psychic,Ice,,1.0
Bug,Ice,,1.0
Rock,Ice,,2.0
Ghost,Ice,,1.0
Dragon,Ice,,1.0
Dark,Ice,,1.0
Steel,Ice,,2.0
Fairy,Ice,,1.0
Normal,Ice,Normal,1.0
Fire,Ice,Normal,2.0
Water,Ice,Normal,1.0
Electric,Ice,Normal,1.0
Grass,Ice,Normal,1.0
Ice,Ice,Normal,0.5
Fighting,Ice,Normal,4.0
Poison,Ice,Normal,1.0
Ground,Ice,Normal,1.0
Flying,Ice,Normal,1.0
Psychic,Ice,Normal,1.0
Bug,Ice,Normal,1.0
Rock,Ice,Normal,2.0
Ghost,Ice,Normal,0.0
Dragon,Ice,Normal,1.0
Dark,Ice,Normal,1.0
Steel,Ice,Normal,2.0
Fairy,Ice,Normal,1.0
Normal,Ice,Fire,1.0
Fire,Ice,Fire,1.0
Water,Ice,Fire,2.0
Electric,Ice,Fire,1.0
Grass,Ice,Fire,0.5
Ice,Ice,Fire,0.25
Fighting,Ice,Fire,2.0
Poison,Ice,Fire,1.0
Ground,Ice,Fire,2.0
Flying,Ice,Fire,1.0
Psychic,Ice,Fire,1.0
Bug,Ice,Fire,0.5
Rock,Ice,Fire,4.0
Ghost,Ice,Fire,1.0
Dragon,Ice,Fire,1.0
Dark,Ice,Fire,1.0
Steel,Ice,Fire,1.0
Fairy,Ice,Fire,0.5
Normal,Ice,Water,1.0
Fire,Ice,Water,1.0
Water,Ice,Water,0.5
Electric,Ice,Water,2.0
Grass,Ice,Water,2.0
Ice,Ice,Water,0.25
Fighting,Ice,Water,2.0
Poison,Ice,Water,1.0
Ground,Ice,Water,1.0
Flying,Ice,Water,1.0
Psychic,Ice,Water,1.0
Bug,Ice,Water,1.0
Rock,Ice,Water,2.0
Ghost,Ice,Water,1.0
Dragon,Ice,Water,1.0
Dark,Ice,Water,1.0
Steel,Ice,Water,1.0
Fairy,Ice,Water,1.0
Normal,Ice,Electric,1.0
Fire,Ice,Electric,2.0
Water,Ice,Electric,1.0
Electric,Ice,Electric,0.5
Grass,Ice,Electric,1.0
Ice,Ice,Electric,0.5
Fighting,Ice,Electric,2.0
Poison,Ice,Electric,1.0
Ground,Ice,Electric,2.0
Flying,Ice,Electric,0.5
Psychic,Ice,Electric,1.0
Bug,Ice,Electric,1.0
Rock,Ice,Electric,2.0
Ghost,Ice,Electric,1.0
Dragon,Ice,Electric,1.0
Dark,Ice,Electric,1.0
Steel,Ice,Electric,1.0
Fairy,Ice,Electric,1.0
Normal,Ice,Grass,1.0
Fire,Ice,Grass,4.0
Water,Ice,Grass,0.5
Electric,Ice,Grass,0.5
Grass,Ice,Grass,0.5
Ice,Ice,Grass,1.0
Fighting,Ice,Grass,2.0
Poison,Ice,Grass,2.0
Ground,Ice,Grass,0.5
Flying,Ice,Grass,2.0
Psychic,Ice,Grass,1.0
Bug,Ice,Grass,2.0
Rock,Ice,Grass,2.0
Ghost,Ice,Grass,1.0
Dragon,Ice,Grass,1.0
Dark,Ice,Grass,1.0
Steel,Ice,Grass,2.0
Fairy,Ice,Grass,1.0
Normal,Ice,Fighting,1.0
Fire,Ice,Fighting,2.0
Water,Ice,Fighting,1.0
Electric,Ice,Fighting,1.0
Grass,Ice,Fighting,1.0
Ice,Ice,Fighting,0.5
Fighting,Ice,Fighting,2.0
Poison,Ice,Fighting,1.0
Ground,Ice,Fighting,1.0
Flying,Ice,Fighting,2.0
Psychic,Ice,Fighting,2.0
Bug,Ice,Fighting,0.5
